"time [h]"	"axial strain[%]"	"radial strain[%]"	"diff. stress[MPa]"	"eff. mean stress[MPa]"	"mean u[MPa]"
0.30	0.01	0.00	0.41	10.04	3.60
0.31	0.01	0.00	0.42	10.03	3.60
0.31	0.01	0.00	0.43	10.04	3.60
0.32	0.01	0.00	0.44	10.03	3.61
0.32	0.01	0.00	0.44	10.03	3.61
0.33	0.01	0.00	0.45	10.03	3.62
0.33	0.01	0.00	0.46	10.04	3.62
0.34	0.01	0.00	0.46	10.03	3.62
0.34	0.01	0.00	0.47	10.03	3.63
0.35	0.01	0.00	0.48	10.03	3.63
0.36	0.01	0.00	0.48	10.02	3.64
0.36	0.01	0.00	0.49	10.02	3.64
0.37	0.01	0.00	0.50	10.02	3.65
0.37	0.01	0.00	0.51	10.02	3.65
0.38	0.01	0.00	0.52	10.03	3.65
0.38	0.01	0.00	0.52	10.02	3.66
0.39	0.01	-0.01	0.68	10.05	3.67
0.39	0.01	-0.01	0.67	10.04	3.68
0.40	0.01	-0.01	0.66	10.04	3.69
0.41	0.01	-0.01	0.66	10.03	3.69
0.41	0.01	-0.01	0.66	10.03	3.69
0.42	0.01	-0.01	0.66	10.02	3.70
0.42	0.01	-0.01	0.66	10.02	3.70
0.43	0.02	-0.01	0.66	10.02	3.70
0.43	0.02	-0.01	0.66	10.02	3.70
0.44	0.02	-0.01	0.66	10.01	3.71
0.44	0.02	-0.01	0.67	10.01	3.71
0.45	0.02	-0.01	0.66	10.01	3.71
0.46	0.02	-0.01	0.67	10.01	3.71
0.46	0.02	-0.01	0.67	10.00	3.72
0.47	0.02	-0.01	0.67	10.01	3.72
0.47	0.02	-0.01	0.67	10.00	3.72
0.48	0.02	-0.01	0.68	10.00	3.72
0.48	0.02	-0.01	0.69	10.00	3.73
0.49	0.02	-0.01	0.69	10.00	3.73
0.49	0.02	-0.01	0.69	10.00	3.73
0.50	0.02	-0.01	0.70	10.00	3.73
0.51	0.02	-0.01	0.70	10.00	3.73
0.51	0.02	-0.01	0.70	9.99	3.74
0.52	0.02	-0.01	0.72	10.00	3.74
0.52	0.02	-0.01	0.72	10.00	3.74
0.53	0.02	-0.01	0.72	10.00	3.74
0.53	0.02	-0.01	0.73	10.01	3.74
0.54	0.02	-0.01	0.73	10.00	3.74
0.54	0.02	-0.01	0.74	10.01	3.73
0.55	0.02	-0.01	0.74	10.01	3.74
0.56	0.02	-0.01	0.74	10.01	3.74
0.56	0.02	-0.01	0.75	10.01	3.74
0.57	0.02	-0.01	0.76	10.00	3.75
0.57	0.02	-0.01	0.75	10.00	3.75
0.58	0.02	-0.01	0.77	10.00	3.76
0.58	0.02	-0.01	0.77	10.00	3.76
0.59	0.02	-0.01	0.78	10.00	3.76
0.59	0.02	-0.01	0.78	10.01	3.75
0.60	0.02	-0.01	0.79	10.01	3.75
0.61	0.02	-0.01	0.78	10.01	3.75
0.61	0.02	-0.01	0.80	10.01	3.75
0.62	0.02	-0.01	0.81	10.01	3.76
0.62	0.02	-0.01	0.81	10.00	3.77
0.63	0.02	-0.01	0.82	10.00	3.77
0.63	0.02	-0.01	0.82	10.00	3.77
0.64	0.02	-0.01	0.83	10.00	3.78
0.64	0.02	-0.01	0.84	10.00	3.78
0.65	0.02	-0.01	0.84	10.00	3.78
0.66	0.02	-0.01	0.85	10.00	3.78
0.66	0.02	-0.01	0.85	10.00	3.79
0.67	0.02	-0.01	0.85	10.00	3.78
0.67	0.02	-0.01	0.87	10.00	3.79
0.68	0.02	-0.01	0.87	10.00	3.79
0.68	0.02	-0.01	0.88	9.99	3.80
0.69	0.02	-0.01	0.88	9.99	3.80
0.69	0.02	-0.01	0.89	9.99	3.81
0.70	0.02	-0.01	0.90	9.99	3.81
0.71	0.03	-0.01	0.90	9.99	3.81
0.71	0.03	-0.01	0.91	9.99	3.82
0.72	0.03	-0.01	0.91	9.98	3.82
0.72	0.03	-0.01	0.91	9.98	3.82
0.73	0.03	-0.01	0.93	9.98	3.83
0.73	0.03	-0.01	0.92	9.98	3.83
0.74	0.03	-0.01	0.93	9.98	3.83
0.74	0.03	-0.01	0.94	9.98	3.83
0.75	0.03	-0.01	0.94	9.98	3.83
0.76	0.03	-0.01	0.95	9.97	3.85
0.76	0.03	-0.01	0.96	9.97	3.85
0.77	0.03	-0.01	0.96	9.97	3.85
0.77	0.03	-0.01	0.97	9.97	3.85
0.78	0.03	-0.01	0.97	9.97	3.85
0.78	0.03	-0.01	0.98	9.97	3.86
0.79	0.03	-0.01	0.98	9.98	3.85
0.79	0.03	-0.01	0.98	9.97	3.85
0.80	0.03	-0.01	1.00	9.98	3.85
0.81	0.03	-0.01	1.00	9.98	3.86
0.81	0.03	-0.01	1.00	9.97	3.86
0.82	0.03	-0.01	1.02	9.97	3.87
0.82	0.03	-0.01	1.02	9.97	3.87
0.83	0.03	-0.01	1.02	9.97	3.87
0.83	0.03	-0.01	1.03	9.97	3.87
0.84	0.03	-0.01	1.03	9.96	3.88
0.84	0.03	-0.01	1.04	9.96	3.88
0.85	0.03	-0.01	1.04	9.96	3.88
0.86	0.03	-0.01	1.05	9.97	3.88
0.86	0.03	-0.01	1.06	9.96	3.89
0.87	0.03	-0.01	1.06	9.96	3.89
0.87	0.03	-0.01	1.06	9.96	3.90
0.88	0.03	-0.01	1.07	9.96	3.90
0.88	0.03	-0.01	1.08	9.96	3.90
0.89	0.03	-0.01	1.08	9.96	3.90
0.89	0.03	-0.01	1.09	9.96	3.90
0.90	0.03	-0.01	1.10	9.96	3.90
0.91	0.03	-0.01	1.10	9.97	3.90
0.91	0.03	-0.01	1.10	9.96	3.91
0.92	0.03	-0.01	1.11	9.95	3.92
0.92	0.03	-0.01	1.11	9.96	3.92
0.93	0.03	-0.01	1.12	9.95	3.92
0.93	0.03	-0.01	1.13	9.95	3.92
0.94	0.03	-0.01	1.13	9.95	3.93
0.94	0.03	-0.01	1.14	9.95	3.93
0.95	0.03	-0.01	1.14	9.95	3.94
0.96	0.03	-0.01	1.15	9.94	3.94
0.96	0.03	-0.01	1.15	9.93	3.95
0.97	0.03	-0.01	1.16	9.93	3.96
0.97	0.03	-0.01	1.17	9.94	3.95
0.98	0.03	-0.01	1.17	9.95	3.94
0.98	0.03	-0.01	1.17	9.95	3.94
0.99	0.04	-0.01	1.18	9.96	3.94
0.99	0.04	-0.01	1.18	9.95	3.95
1.00	0.04	-0.01	1.19	9.95	3.95
1.01	0.04	-0.01	1.19	9.94	3.95
1.01	0.04	-0.01	1.20	9.94	3.97
1.02	0.04	-0.01	1.21	9.94	3.97
1.02	0.04	-0.01	1.21	9.94	3.96
1.03	0.04	-0.01	1.22	9.94	3.96
1.03	0.04	-0.01	1.23	9.94	3.97
1.04	0.04	-0.01	1.22	9.94	3.97
1.04	0.04	-0.01	1.24	9.93	3.98
1.05	0.04	-0.01	1.24	9.93	3.98
1.06	0.04	-0.01	1.25	9.93	3.98
1.06	0.04	-0.01	1.25	9.93	3.98
1.07	0.04	-0.01	1.26	9.93	3.99
1.07	0.04	-0.01	1.27	9.93	3.99
1.08	0.04	-0.01	1.27	9.93	4.00
1.08	0.04	-0.02	1.28	9.93	4.00
1.09	0.04	-0.02	1.28	9.92	4.00
1.09	0.04	-0.02	1.28	9.93	4.00
1.10	0.04	-0.02	1.29	9.92	4.01
1.11	0.04	-0.02	1.30	9.93	4.00
1.11	0.04	-0.02	1.31	9.93	4.01
1.12	0.04	-0.02	1.31	9.92	4.01
1.12	0.04	-0.02	1.32	9.92	4.02
1.13	0.04	-0.02	1.32	9.92	4.02
1.13	0.04	-0.02	1.33	9.92	4.02
1.14	0.04	-0.02	1.34	9.92	4.02
1.14	0.04	-0.02	1.34	9.92	4.03
1.15	0.04	-0.02	1.35	9.93	4.02
1.16	0.04	-0.02	1.35	9.92	4.03
1.16	0.04	-0.02	1.36	9.93	4.03
1.17	0.04	-0.02	1.37	9.92	4.03
1.17	0.04	-0.02	1.37	9.92	4.03
1.18	0.04	-0.02	1.38	9.92	4.04
1.18	0.04	-0.02	1.38	9.92	4.04
1.19	0.04	-0.02	1.39	9.92	4.05
1.19	0.04	-0.02	1.40	9.92	4.05
1.20	0.04	-0.02	1.40	9.91	4.05
1.21	0.04	-0.02	1.41	9.92	4.05
1.21	0.04	-0.02	1.42	9.91	4.06
1.22	0.04	-0.02	1.42	9.91	4.06
1.22	0.04	-0.02	1.43	9.91	4.07
1.23	0.04	-0.02	1.43	9.91	4.07
1.23	0.04	-0.02	1.44	9.91	4.07
1.24	0.04	-0.02	1.45	9.92	4.07
1.24	0.04	-0.02	1.46	9.92	4.07
1.25	0.04	-0.02	1.47	9.91	4.08
1.26	0.04	-0.02	1.47	9.90	4.08
1.26	0.04	-0.02	1.48	9.91	4.09
1.27	0.04	-0.02	1.49	9.91	4.09
1.27	0.05	-0.02	1.49	9.91	4.09
1.28	0.05	-0.02	1.49	9.90	4.10
1.28	0.05	-0.02	1.50	9.91	4.09
1.29	0.05	-0.02	1.51	9.91	4.10
1.29	0.05	-0.02	1.51	9.91	4.09
1.30	0.05	-0.02	1.52	9.90	4.10
1.31	0.05	-0.02	1.52	9.90	4.10
1.31	0.05	-0.02	1.54	9.90	4.11
1.32	0.05	-0.02	1.55	9.89	4.12
1.32	0.05	-0.02	1.55	9.89	4.12
1.33	0.05	-0.02	1.55	9.89	4.13
1.33	0.05	-0.02	1.56	9.89	4.13
1.34	0.05	-0.02	1.57	9.89	4.13
1.34	0.05	-0.02	1.57	9.89	4.13
1.35	0.05	-0.02	1.58	9.90	4.13
1.36	0.05	-0.02	1.59	9.90	4.13
1.36	0.05	-0.02	1.60	9.90	4.13
1.37	0.05	-0.02	1.60	9.89	4.14
1.37	0.05	-0.02	1.61	9.90	4.14
1.38	0.05	-0.02	1.61	9.89	4.15
1.38	0.05	-0.02	1.62	9.88	4.16
1.39	0.05	-0.02	1.63	9.88	4.16
1.39	0.05	-0.02	1.64	9.88	4.16
1.40	0.05	-0.02	1.64	9.88	4.17
1.41	0.05	-0.02	1.65	9.88	4.17
1.41	0.05	-0.02	1.65	9.88	4.18
1.42	0.05	-0.02	1.65	9.88	4.17
1.42	0.05	-0.02	1.67	9.88	4.18
1.43	0.05	-0.02	1.67	9.88	4.18
1.43	0.05	-0.02	1.69	9.88	4.19
1.44	0.05	-0.02	1.69	9.87	4.19
1.44	0.05	-0.02	1.70	9.88	4.19
1.45	0.05	-0.02	1.71	9.87	4.20
1.46	0.05	-0.02	1.71	9.87	4.20
1.46	0.05	-0.02	1.72	9.86	4.21
1.47	0.05	-0.02	1.73	9.87	4.21
1.47	0.05	-0.02	1.73	9.87	4.21
1.48	0.05	-0.02	1.74	9.87	4.21
1.48	0.05	-0.02	1.74	9.87	4.22
1.49	0.05	-0.02	1.76	9.86	4.22
1.49	0.05	-0.02	1.75	9.86	4.23
1.50	0.05	-0.02	1.76	9.86	4.23
1.51	0.05	-0.02	1.77	9.86	4.23
1.51	0.05	-0.02	1.78	9.86	4.24
1.52	0.05	-0.02	1.79	9.86	4.23
1.52	0.05	-0.02	1.80	9.86	4.24
1.53	0.05	-0.02	1.80	9.86	4.24
1.53	0.05	-0.02	1.80	9.86	4.24
1.54	0.05	-0.02	1.81	9.86	4.24
1.54	0.05	-0.02	1.82	9.86	4.25
1.55	0.05	-0.02	1.82	9.85	4.26
1.56	0.06	-0.02	1.82	9.85	4.26
1.56	0.06	-0.02	1.84	9.85	4.26
1.57	0.06	-0.02	1.84	9.84	4.27
1.57	0.06	-0.02	1.86	9.84	4.27
1.58	0.06	-0.02	1.86	9.84	4.28
1.58	0.06	-0.02	1.87	9.85	4.28
1.59	0.06	-0.02	1.87	9.85	4.28
1.59	0.06	-0.02	1.88	9.84	4.28
1.60	0.06	-0.02	1.88	9.84	4.28
1.61	0.06	-0.02	1.89	9.84	4.29
1.61	0.06	-0.02	1.91	9.84	4.29
1.62	0.06	-0.02	1.91	9.84	4.30
1.62	0.06	-0.02	1.91	9.83	4.31
1.63	0.06	-0.02	1.92	9.83	4.31
1.63	0.06	-0.02	1.92	9.82	4.32
1.64	0.06	-0.02	1.94	9.83	4.32
1.64	0.06	-0.02	1.94	9.84	4.31
1.65	0.06	-0.02	1.95	9.83	4.31
1.66	0.06	-0.02	1.95	9.83	4.32
1.66	0.06	-0.02	1.96	9.83	4.32
1.67	0.06	-0.02	1.97	9.82	4.33
1.67	0.06	-0.02	1.98	9.83	4.33
1.68	0.06	-0.03	1.98	9.82	4.34
1.68	0.06	-0.03	1.98	9.83	4.34
1.69	0.06	-0.03	1.99	9.83	4.34
1.69	0.06	-0.03	2.00	9.82	4.35
1.70	0.06	-0.03	2.01	9.83	4.34
1.71	0.06	-0.03	2.02	9.82	4.35
1.71	0.06	-0.03	2.02	9.81	4.36
1.72	0.06	-0.03	2.01	9.80	4.37
1.72	0.06	-0.03	2.02	9.81	4.36
1.73	0.06	-0.03	2.04	9.83	4.35
1.73	0.06	-0.03	2.05	9.83	4.36
1.74	0.06	-0.03	2.04	9.81	4.37
1.74	0.06	-0.03	2.06	9.81	4.38
1.75	0.06	-0.03	2.07	9.80	4.39
1.76	0.06	-0.03	2.08	9.81	4.38
1.76	0.06	-0.03	2.08	9.81	4.38
1.77	0.06	-0.03	2.09	9.81	4.39
1.77	0.06	-0.03	2.09	9.80	4.39
1.78	0.06	-0.03	2.11	9.81	4.39
1.78	0.06	-0.03	2.10	9.80	4.40
1.79	0.06	-0.03	2.11	9.80	4.40
1.79	0.06	-0.03	2.12	9.80	4.41
1.80	0.06	-0.03	2.13	9.80	4.41
1.81	0.06	-0.03	2.14	9.80	4.41
1.81	0.06	-0.03	2.14	9.80	4.42
1.82	0.06	-0.03	2.15	9.80	4.41
1.82	0.06	-0.03	2.16	9.80	4.42
1.83	0.06	-0.03	2.15	9.79	4.43
1.83	0.07	-0.03	2.17	9.80	4.42
1.84	0.07	-0.03	2.17	9.79	4.43
1.84	0.07	-0.03	2.17	9.78	4.44
1.85	0.07	-0.03	2.18	9.78	4.45
1.86	0.07	-0.03	2.19	9.79	4.44
1.86	0.07	-0.03	2.20	9.80	4.44
1.87	0.07	-0.03	2.21	9.79	4.44
1.87	0.07	-0.03	2.21	9.80	4.44
1.88	0.07	-0.03	2.21	9.79	4.45
1.88	0.07	-0.03	2.23	9.79	4.46
1.89	0.07	-0.03	2.23	9.79	4.45
1.89	0.07	-0.03	2.24	9.79	4.46
1.90	0.07	-0.03	2.24	9.79	4.46
1.91	0.07	-0.03	2.25	9.78	4.47
1.91	0.07	-0.03	2.25	9.79	4.46
1.92	0.07	-0.03	2.27	9.78	4.47
1.92	0.07	-0.03	2.26	9.78	4.47
1.93	0.07	-0.03	2.28	9.78	4.48
1.93	0.07	-0.03	2.28	9.77	4.49
1.94	0.07	-0.03	2.29	9.76	4.50
1.94	0.07	-0.03	2.29	9.77	4.49
1.95	0.07	-0.03	2.29	9.78	4.48
1.96	0.07	-0.03	2.30	9.79	4.48
1.96	0.07	-0.03	2.30	9.79	4.48
1.97	0.07	-0.03	2.32	9.78	4.49
1.97	0.07	-0.03	2.31	9.77	4.49
1.98	0.07	-0.03	2.33	9.78	4.50
1.98	0.07	-0.03	2.34	9.77	4.51
1.99	0.07	-0.03	2.34	9.76	4.52
1.99	0.07	-0.03	2.35	9.77	4.52
2.00	0.07	-0.03	2.35	9.77	4.52
2.01	0.07	-0.03	2.35	9.76	4.52
2.01	0.07	-0.03	2.37	9.77	4.52
2.02	0.07	-0.03	2.37	9.77	4.52
2.02	0.07	-0.03	2.37	9.77	4.52
2.03	0.07	-0.03	2.38	9.76	4.53
2.03	0.07	-0.03	2.39	9.77	4.53
2.04	0.07	-0.03	2.39	9.76	4.54
2.04	0.07	-0.03	2.41	9.76	4.54
2.05	0.07	-0.03	2.41	9.76	4.55
2.06	0.07	-0.03	2.41	9.76	4.54
2.06	0.07	-0.03	2.42	9.76	4.55
2.07	0.07	-0.03	2.42	9.76	4.55
2.07	0.07	-0.03	2.42	9.76	4.55
2.08	0.07	-0.03	2.44	9.76	4.56
2.08	0.07	-0.03	2.45	9.76	4.56
2.09	0.07	-0.03	2.45	9.75	4.57
2.09	0.07	-0.03	2.45	9.74	4.58
2.10	0.07	-0.03	2.47	9.74	4.58
2.11	0.07	-0.03	2.47	9.75	4.58
2.11	0.07	-0.03	2.48	9.75	4.57
2.12	0.08	-0.03	2.48	9.76	4.57
2.12	0.08	-0.03	2.49	9.75	4.58
2.13	0.08	-0.03	2.49	9.74	4.59
2.13	0.08	-0.03	2.49	9.74	4.59
2.14	0.08	-0.03	2.51	9.74	4.60
2.14	0.08	-0.03	2.51	9.74	4.60
2.15	0.08	-0.03	2.52	9.74	4.60
2.16	0.08	-0.03	2.53	9.74	4.60
2.16	0.08	-0.03	2.53	9.74	4.61
2.17	0.08	-0.03	2.54	9.74	4.61
2.17	0.08	-0.03	2.54	9.74	4.61
2.18	0.08	-0.03	2.55	9.74	4.61
2.18	0.08	-0.03	2.55	9.74	4.61
2.19	0.08	-0.03	2.57	9.73	4.62
2.19	0.08	-0.03	2.58	9.74	4.62
2.20	0.08	-0.04	2.58	9.73	4.63
2.21	0.08	-0.04	2.59	9.73	4.63
2.21	0.08	-0.04	2.59	9.73	4.64
2.22	0.08	-0.04	2.60	9.73	4.64
2.22	0.08	-0.04	2.60	9.72	4.64
2.23	0.08	-0.04	2.60	9.73	4.64
2.23	0.08	-0.04	2.62	9.72	4.65
2.24	0.08	-0.04	2.62	9.71	4.66
2.24	0.08	-0.04	2.62	9.71	4.66
2.25	0.08	-0.04	2.62	9.71	4.67
2.26	0.08	-0.04	2.64	9.72	4.66
2.26	0.08	-0.04	2.64	9.71	4.66
2.27	0.08	-0.04	2.65	9.72	4.67
2.27	0.08	-0.04	2.64	9.71	4.67
2.28	0.08	-0.04	2.66	9.71	4.67
2.28	0.08	-0.04	2.66	9.71	4.67
2.29	0.08	-0.04	2.66	9.72	4.67
2.29	0.08	-0.04	2.67	9.72	4.67
2.30	0.08	-0.04	2.67	9.72	4.67
2.31	0.08	-0.04	2.68	9.72	4.67
2.31	0.08	-0.04	2.67	9.70	4.69
2.32	0.08	-0.04	2.68	9.71	4.68
2.32	0.08	-0.04	2.68	9.70	4.69
2.33	0.08	-0.04	2.69	9.70	4.69
2.33	0.08	-0.04	2.70	9.70	4.70
2.34	0.08	-0.04	2.70	9.70	4.70
2.34	0.08	-0.04	2.70	9.70	4.70
2.35	0.08	-0.04	2.71	9.69	4.71
2.36	0.08	-0.04	2.70	9.70	4.70
2.36	0.08	-0.04	2.72	9.69	4.71
2.37	0.08	-0.04	2.72	9.69	4.71
2.37	0.08	-0.04	2.72	9.69	4.72
2.38	0.08	-0.04	2.72	9.69	4.72
2.38	0.08	-0.04	2.73	9.69	4.72
2.39	0.08	-0.04	2.74	9.69	4.72
2.39	0.08	-0.04	2.74	9.68	4.73
2.40	0.09	-0.04	2.74	9.69	4.73
2.41	0.09	-0.04	2.75	9.68	4.73
2.41	0.09	-0.04	2.74	9.68	4.73
2.42	0.09	-0.04	2.76	9.69	4.73
2.42	0.09	-0.04	2.76	9.69	4.73
2.43	0.09	-0.04	2.77	9.68	4.74
2.43	0.09	-0.04	2.77	9.68	4.74
2.44	0.09	-0.04	2.77	9.67	4.75
2.44	0.09	-0.04	2.78	9.68	4.75
2.45	0.09	-0.04	2.78	9.67	4.76
2.46	0.09	-0.04	2.77	9.67	4.76
2.46	0.09	-0.04	2.79	9.67	4.76
2.47	0.09	-0.04	2.80	9.68	4.76
2.47	0.09	-0.04	2.80	9.68	4.76
2.48	0.09	-0.04	2.80	9.68	4.75
2.48	0.09	-0.04	2.81	9.68	4.76
2.49	0.09	-0.04	2.81	9.68	4.76
2.49	0.09	-0.04	2.82	9.68	4.76
2.50	0.09	-0.04	2.82	9.67	4.77
2.51	0.09	-0.04	2.82	9.67	4.77
2.51	0.09	-0.04	2.83	9.66	4.78
2.52	0.09	-0.04	2.84	9.66	4.78
2.52	0.09	-0.04	2.83	9.66	4.79
2.53	0.09	-0.04	2.84	9.66	4.78
2.53	0.09	-0.04	2.84	9.66	4.79
2.54	0.09	-0.04	2.85	9.66	4.79
2.54	0.09	-0.04	2.85	9.66	4.79
2.55	0.09	-0.04	2.86	9.66	4.80
2.56	0.09	-0.04	2.86	9.65	4.80
2.56	0.09	-0.04	2.87	9.65	4.81
2.57	0.09	-0.04	2.87	9.65	4.80
2.57	0.09	-0.04	2.88	9.65	4.81
2.58	0.09	-0.04	2.88	9.64	4.82
2.58	0.09	-0.04	2.88	9.64	4.82
2.59	0.09	-0.04	2.89	9.65	4.81
2.59	0.09	-0.04	2.90	9.66	4.81
2.60	0.09	-0.04	2.90	9.66	4.80
2.61	0.09	-0.04	2.89	9.65	4.81
2.61	0.09	-0.04	2.90	9.65	4.81
2.62	0.09	-0.04	2.90	9.65	4.82
2.62	0.09	-0.04	2.92	9.64	4.83
2.63	0.09	-0.04	2.92	9.64	4.83
2.63	0.09	-0.04	2.92	9.64	4.84
2.64	0.09	-0.04	2.93	9.64	4.83
2.64	0.09	-0.04	2.93	9.65	4.83
2.65	0.09	-0.04	2.93	9.65	4.83
2.66	0.09	-0.04	2.94	9.65	4.83
2.66	0.09	-0.04	2.95	9.65	4.84
2.67	0.09	-0.04	2.94	9.63	4.85
2.67	0.09	-0.04	2.95	9.64	4.84
2.68	0.09	-0.04	2.96	9.64	4.85
2.68	0.10	-0.04	2.97	9.64	4.85
2.69	0.10	-0.04	2.97	9.63	4.86
2.69	0.10	-0.04	2.98	9.63	4.86
2.70	0.10	-0.04	2.98	9.63	4.86
2.71	0.10	-0.04	2.98	9.63	4.86
2.71	0.10	-0.04	2.99	9.63	4.87
2.72	0.10	-0.04	2.99	9.63	4.86
2.72	0.10	-0.04	2.99	9.63	4.86
2.73	0.10	-0.04	2.99	9.63	4.87
2.73	0.10	-0.04	2.99	9.63	4.87
2.74	0.10	-0.04	3.01	9.63	4.87
2.74	0.10	-0.04	3.01	9.63	4.87
2.75	0.10	-0.04	3.02	9.63	4.88
2.76	0.10	-0.04	3.02	9.63	4.88
2.76	0.10	-0.04	3.02	9.62	4.88
2.77	0.10	-0.04	3.03	9.63	4.88
2.77	0.10	-0.04	3.03	9.62	4.89
2.78	0.10	-0.04	3.04	9.62	4.89
2.78	0.10	-0.04	3.04	9.62	4.90
2.79	0.10	-0.04	3.04	9.62	4.89
2.79	0.10	-0.04	3.04	9.62	4.90
2.80	0.10	-0.04	3.05	9.62	4.90
2.81	0.10	-0.04	3.05	9.61	4.91
2.81	0.10	-0.04	3.06	9.62	4.90
2.82	0.10	-0.04	3.07	9.62	4.91
2.82	0.10	-0.04	3.07	9.62	4.91
2.83	0.10	-0.05	3.07	9.62	4.91
2.83	0.10	-0.05	3.08	9.61	4.91
2.84	0.10	-0.05	3.08	9.62	4.91
2.84	0.10	-0.05	3.08	9.61	4.92
2.85	0.10	-0.05	3.09	9.61	4.92
2.86	0.10	-0.05	3.09	9.61	4.93
2.86	0.10	-0.05	3.10	9.61	4.92
2.87	0.10	-0.05	3.10	9.61	4.93
2.87	0.10	-0.05	3.10	9.61	4.93
2.88	0.10	-0.05	3.10	9.60	4.93
2.88	0.10	-0.05	3.11	9.60	4.93
2.89	0.10	-0.05	3.12	9.60	4.94
2.89	0.10	-0.05	3.13	9.60	4.94
2.90	0.10	-0.05	3.12	9.60	4.94
2.91	0.10	-0.05	3.12	9.59	4.95
2.91	0.10	-0.05	3.14	9.60	4.95
2.92	0.10	-0.05	3.13	9.59	4.95
2.92	0.10	-0.05	3.14	9.60	4.95
2.93	0.10	-0.05	3.14	9.59	4.95
2.93	0.10	-0.05	3.15	9.60	4.95
2.94	0.10	-0.05	3.16	9.59	4.96
2.94	0.10	-0.05	3.17	9.60	4.96
2.95	0.10	-0.05	3.16	9.59	4.97
2.96	0.10	-0.05	3.17	9.59	4.97
2.96	0.11	-0.05	3.17	9.59	4.97
2.97	0.11	-0.05	3.18	9.59	4.97
2.97	0.11	-0.05	3.18	9.59	4.97
2.98	0.11	-0.05	3.19	9.59	4.98
2.98	0.11	-0.05	3.18	9.58	4.98
2.99	0.11	-0.05	3.19	9.58	4.98
2.99	0.11	-0.05	3.20	9.58	4.99
3.00	0.11	-0.05	3.20	9.58	4.98
3.01	0.11	-0.05	3.20	9.58	4.99
3.01	0.11	-0.05	3.21	9.58	4.99
3.02	0.11	-0.05	3.22	9.58	5.00
3.02	0.11	-0.05	3.22	9.58	5.00
3.03	0.11	-0.05	3.22	9.57	5.00
3.03	0.11	-0.05	3.22	9.57	5.00
3.04	0.11	-0.05	3.23	9.57	5.00
3.04	0.11	-0.05	3.23	9.58	5.00
3.05	0.11	-0.05	3.23	9.57	5.01
3.06	0.11	-0.05	3.23	9.57	5.01
3.06	0.11	-0.05	3.24	9.57	5.01
3.07	0.11	-0.05	3.25	9.57	5.01
3.07	0.11	-0.05	3.24	9.57	5.01
3.08	0.11	-0.05	3.26	9.57	5.01
3.08	0.11	-0.05	3.25	9.56	5.03
3.09	0.11	-0.05	3.27	9.56	5.03
