"time [h]"	"axial strain[%]"	"radial strain[%]"	"diff. stress[MPa]"	"eff. mean stress[MPa]"	"mean u[MPa]"
0.78	0.02	-0.02	1.12	10.09	3.08
0.79	0.02	-0.02	1.13	10.10	3.08
0.79	0.03	-0.02	1.14	10.10	3.08
0.80	0.03	-0.02	1.14	10.10	3.08
0.81	0.03	-0.02	1.15	10.10	3.08
0.81	0.03	-0.02	1.16	10.11	3.08
0.82	0.03	-0.02	1.16	10.12	3.07
0.82	0.03	-0.02	1.17	10.12	3.07
0.83	0.03	-0.02	1.18	10.11	3.08
0.83	0.03	-0.02	1.18	10.11	3.08
0.84	0.03	-0.02	1.19	10.13	3.07
0.84	0.03	-0.02	1.20	10.13	3.07
0.85	0.03	-0.02	1.20	10.13	3.07
0.86	0.03	-0.02	1.21	10.11	3.09
0.86	0.03	-0.02	1.22	10.10	3.10
0.87	0.03	-0.02	1.22	10.11	3.10
0.87	0.03	-0.02	1.23	10.11	3.10
0.88	0.03	-0.02	1.24	10.11	3.10
0.88	0.03	-0.02	1.25	10.10	3.11
0.89	0.03	-0.02	1.25	10.10	3.12
0.89	0.03	-0.02	1.26	10.10	3.12
0.90	0.03	-0.02	1.27	10.11	3.11
0.91	0.03	-0.02	1.27	10.11	3.12
0.91	0.03	-0.02	1.28	10.10	3.12
0.92	0.03	-0.02	1.28	10.10	3.13
0.92	0.03	-0.02	1.29	10.10	3.13
0.93	0.03	-0.02	1.30	10.11	3.12
0.93	0.03	-0.02	1.31	10.11	3.13
0.94	0.03	-0.02	1.31	10.10	3.13
0.94	0.03	-0.02	1.32	10.10	3.14
0.95	0.03	-0.02	1.33	10.09	3.15
0.96	0.03	-0.02	1.33	10.09	3.16
0.96	0.03	-0.02	1.34	10.10	3.14
0.97	0.03	-0.02	1.35	10.10	3.15
0.97	0.03	-0.02	1.35	10.10	3.15
0.98	0.03	-0.02	1.36	10.10	3.16
0.98	0.03	-0.02	1.37	10.11	3.15
0.99	0.03	-0.02	1.37	10.11	3.15
0.99	0.03	-0.02	1.38	10.10	3.16
1.00	0.03	-0.02	1.38	10.09	3.17
1.01	0.03	-0.02	1.39	10.09	3.17
1.01	0.03	-0.02	1.40	10.10	3.17
1.02	0.03	-0.02	1.41	10.11	3.16
1.02	0.03	-0.02	1.41	10.11	3.16
1.03	0.03	-0.02	1.42	10.12	3.15
1.03	0.03	-0.02	1.43	10.12	3.16
1.04	0.03	-0.02	1.43	10.11	3.17
1.04	0.03	-0.02	1.44	10.11	3.17
1.05	0.03	-0.02	1.44	10.12	3.16
1.06	0.03	-0.02	1.45	10.13	3.16
1.06	0.03	-0.02	1.46	10.12	3.16
1.07	0.03	-0.02	1.46	10.11	3.17
1.07	0.04	-0.02	1.47	10.10	3.19
1.08	0.04	-0.02	1.48	10.09	3.20
1.08	0.04	-0.02	1.48	10.10	3.20
1.09	0.04	-0.02	1.49	10.10	3.20
1.09	0.04	-0.02	1.49	10.10	3.19
1.10	0.04	-0.02	1.50	10.10	3.20
1.11	0.04	-0.02	1.51	10.10	3.20
1.11	0.04	-0.02	1.51	10.09	3.21
1.12	0.04	-0.02	1.52	10.09	3.22
1.12	0.04	-0.02	1.53	10.10	3.21
1.13	0.04	-0.02	1.53	10.10	3.21
1.13	0.04	-0.02	1.54	10.10	3.21
1.14	0.04	-0.02	1.55	10.11	3.21
1.14	0.04	-0.02	1.55	10.11	3.21
1.15	0.04	-0.02	1.56	10.11	3.21
1.16	0.04	-0.02	1.56	10.11	3.21
1.16	0.04	-0.02	1.57	10.11	3.22
1.17	0.04	-0.02	1.58	10.10	3.23
1.17	0.04	-0.02	1.58	10.09	3.24
1.18	0.04	-0.02	1.59	10.09	3.24
1.18	0.04	-0.02	1.60	10.10	3.23
1.19	0.04	-0.02	1.60	10.10	3.23
1.19	0.04	-0.02	1.61	10.10	3.23
1.20	0.04	-0.03	1.61	10.10	3.24
1.21	0.04	-0.03	1.62	10.11	3.23
1.21	0.04	-0.03	1.63	10.11	3.23
1.22	0.04	-0.03	1.63	10.10	3.24
1.22	0.04	-0.03	1.64	10.11	3.24
1.23	0.04	-0.03	1.64	10.11	3.23
1.23	0.04	-0.03	1.65	10.12	3.23
1.24	0.04	-0.03	1.65	10.12	3.23
1.24	0.04	-0.03	1.66	10.11	3.25
1.25	0.04	-0.03	1.67	10.10	3.26
1.26	0.04	-0.03	1.68	10.09	3.27
1.26	0.04	-0.03	1.68	10.08	3.28
1.27	0.04	-0.03	1.69	10.08	3.28
1.27	0.04	-0.03	1.69	10.09	3.27
1.28	0.04	-0.03	1.70	10.10	3.26
1.28	0.04	-0.03	1.71	10.11	3.26
1.29	0.04	-0.03	1.71	10.12	3.25
1.29	0.04	-0.03	1.72	10.11	3.26
1.30	0.04	-0.03	1.72	10.10	3.27
1.31	0.04	-0.03	1.73	10.09	3.28
1.31	0.04	-0.03	1.73	10.08	3.29
1.32	0.04	-0.03	1.74	10.08	3.30
1.32	0.04	-0.03	1.75	10.08	3.30
1.33	0.04	-0.03	1.75	10.09	3.30
1.33	0.04	-0.03	1.76	10.08	3.31
1.34	0.04	-0.03	1.76	10.08	3.31
1.34	0.05	-0.03	1.77	10.08	3.31
1.35	0.05	-0.03	1.78	10.09	3.30
1.36	0.05	-0.03	1.79	10.10	3.29
1.36	0.05	-0.03	1.79	10.10	3.30
1.37	0.05	-0.03	1.79	10.09	3.31
1.37	0.05	-0.03	1.80	10.09	3.31
1.38	0.05	-0.03	1.80	10.09	3.31
1.38	0.05	-0.03	1.81	10.09	3.31
1.39	0.05	-0.03	1.81	10.08	3.32
1.39	0.05	-0.03	1.82	10.09	3.32
1.40	0.05	-0.03	1.83	10.09	3.32
1.41	0.05	-0.03	1.83	10.09	3.32
1.41	0.05	-0.03	1.84	10.08	3.33
1.42	0.05	-0.03	1.84	10.08	3.34
1.42	0.05	-0.03	1.85	10.08	3.34
1.43	0.05	-0.03	1.86	10.08	3.34
1.43	0.05	-0.03	1.86	10.09	3.33
1.44	0.05	-0.03	1.87	10.09	3.33
1.44	0.05	-0.03	1.87	10.09	3.33
1.45	0.05	-0.03	1.88	10.09	3.34
1.46	0.05	-0.03	1.88	10.08	3.35
1.46	0.05	-0.03	1.89	10.08	3.35
1.47	0.05	-0.03	1.90	10.08	3.35
1.47	0.05	-0.03	1.90	10.08	3.35
1.48	0.05	-0.03	1.91	10.07	3.36
1.48	0.05	-0.03	1.92	10.07	3.37
1.49	0.05	-0.03	1.92	10.06	3.38
1.49	0.05	-0.03	1.93	10.07	3.37
1.50	0.05	-0.03	1.93	10.08	3.37
1.51	0.05	-0.03	1.94	10.08	3.37
1.51	0.05	-0.03	1.94	10.07	3.38
1.52	0.05	-0.03	1.95	10.06	3.39
1.52	0.05	-0.03	1.95	10.07	3.38
1.53	0.05	-0.03	1.96	10.07	3.38
1.53	0.05	-0.03	1.97	10.07	3.38
1.54	0.05	-0.03	1.97	10.07	3.39
1.54	0.05	-0.03	1.98	10.06	3.40
1.55	0.05	-0.03	1.98	10.07	3.39
1.56	0.05	-0.03	1.99	10.08	3.39
1.56	0.05	-0.03	1.99	10.07	3.39
1.57	0.05	-0.03	2.00	10.07	3.40
1.57	0.05	-0.03	2.00	10.07	3.40
1.58	0.05	-0.03	2.01	10.07	3.40
1.58	0.05	-0.03	2.02	10.07	3.40
1.59	0.05	-0.03	2.02	10.07	3.41
1.59	0.05	-0.03	2.03	10.06	3.42
1.60	0.05	-0.03	2.03	10.06	3.42
1.61	0.05	-0.03	2.04	10.06	3.42
1.61	0.05	-0.03	2.04	10.06	3.42
1.62	0.05	-0.03	2.05	10.06	3.42
1.62	0.06	-0.03	2.06	10.06	3.42
1.63	0.06	-0.03	2.06	10.07	3.42
1.63	0.06	-0.03	2.06	10.07	3.42
1.64	0.06	-0.03	2.07	10.06	3.43
1.64	0.06	-0.03	2.08	10.05	3.44
1.65	0.06	-0.04	2.08	10.06	3.44
1.66	0.06	-0.04	2.09	10.07	3.43
1.66	0.06	-0.04	2.09	10.07	3.43
1.67	0.06	-0.04	2.10	10.06	3.44
1.67	0.06	-0.04	2.10	10.06	3.44
1.68	0.06	-0.04	2.11	10.07	3.43
1.68	0.06	-0.04	2.11	10.07	3.44
1.69	0.06	-0.04	2.12	10.06	3.44
1.69	0.06	-0.04	2.14	10.06	3.45
1.70	0.06	-0.04	2.13	10.07	3.44
1.71	0.06	-0.04	2.14	10.08	3.43
1.71	0.06	-0.04	2.14	10.08	3.43
1.72	0.06	-0.04	2.14	10.08	3.44
1.72	0.06	-0.04	2.15	10.07	3.45
1.73	0.06	-0.04	2.16	10.06	3.46
1.73	0.06	-0.04	2.16	10.05	3.47
1.74	0.06	-0.04	2.17	10.04	3.48
1.74	0.06	-0.04	2.17	10.05	3.47
1.75	0.06	-0.04	2.18	10.05	3.47
1.76	0.06	-0.04	2.18	10.05	3.48
1.76	0.06	-0.04	2.19	10.05	3.48
1.77	0.06	-0.04	2.19	10.05	3.49
1.77	0.06	-0.04	2.20	10.04	3.49
1.78	0.06	-0.04	2.21	10.05	3.49
1.78	0.06	-0.04	2.21	10.06	3.48
1.79	0.06	-0.04	2.22	10.06	3.48
1.79	0.06	-0.04	2.22	10.05	3.49
1.80	0.06	-0.04	2.23	10.05	3.49
1.81	0.06	-0.04	2.23	10.04	3.50
1.81	0.06	-0.04	2.24	10.04	3.51
1.82	0.06	-0.04	2.24	10.05	3.50
1.82	0.06	-0.04	2.25	10.06	3.49
1.83	0.06	-0.04	2.25	10.05	3.50
1.83	0.06	-0.04	2.26	10.05	3.50
1.84	0.06	-0.04	2.27	10.04	3.51
1.84	0.06	-0.04	2.27	10.04	3.52
1.85	0.06	-0.04	2.27	10.04	3.52
1.86	0.06	-0.04	2.28	10.05	3.51
1.86	0.06	-0.04	2.29	10.05	3.51
1.87	0.06	-0.04	2.29	10.06	3.51
1.87	0.06	-0.04	2.30	10.06	3.50
1.88	0.06	-0.04	2.30	10.06	3.51
1.88	0.06	-0.04	2.31	10.05	3.52
1.89	0.06	-0.04	2.31	10.04	3.53
1.89	0.06	-0.04	2.32	10.06	3.52
1.90	0.07	-0.04	2.32	10.06	3.52
1.91	0.07	-0.04	2.32	10.05	3.52
1.91	0.07	-0.04	2.33	10.05	3.53
1.92	0.07	-0.04	2.33	10.04	3.54
1.92	0.07	-0.04	2.34	10.04	3.54
1.93	0.07	-0.04	2.34	10.05	3.53
1.93	0.07	-0.04	2.35	10.05	3.54
1.94	0.07	-0.04	2.36	10.04	3.54
1.94	0.07	-0.04	2.36	10.04	3.55
1.95	0.07	-0.04	2.37	10.05	3.54
1.96	0.07	-0.04	2.37	10.05	3.54
1.96	0.07	-0.04	2.38	10.05	3.55
1.97	0.07	-0.04	2.38	10.04	3.55
1.97	0.07	-0.04	2.38	10.04	3.55
1.98	0.07	-0.04	2.39	10.05	3.55
1.98	0.07	-0.04	2.39	10.05	3.55
1.99	0.07	-0.04	2.40	10.04	3.56
1.99	0.07	-0.04	2.41	10.04	3.56
2.00	0.07	-0.04	2.41	10.04	3.57
2.01	0.07	-0.04	2.41	10.04	3.56
2.01	0.07	-0.04	2.42	10.05	3.56
2.02	0.07	-0.04	2.42	10.04	3.57
2.02	0.07	-0.04	2.43	10.04	3.57
2.03	0.07	-0.04	2.44	10.03	3.58
2.03	0.07	-0.04	2.44	10.03	3.58
2.04	0.07	-0.04	2.45	10.04	3.58
2.04	0.07	-0.04	2.45	10.04	3.58
2.05	0.07	-0.04	2.45	10.03	3.58
2.06	0.07	-0.04	2.46	10.03	3.59
2.06	0.07	-0.04	2.47	10.03	3.59
2.07	0.07	-0.04	2.47	10.04	3.58
2.07	0.07	-0.04	2.48	10.03	3.59
2.08	0.07	-0.04	2.48	10.04	3.59
2.08	0.07	-0.04	2.48	10.04	3.58
2.09	0.07	-0.04	2.49	10.05	3.58
2.09	0.07	-0.04	2.49	10.06	3.57
2.10	0.07	-0.05	2.50	10.06	3.58
2.11	0.07	-0.05	2.50	10.05	3.59
2.11	0.07	-0.05	2.51	10.05	3.58
2.12	0.07	-0.05	2.51	10.06	3.57
2.12	0.07	-0.05	2.52	10.07	3.57
2.13	0.07	-0.05	2.52	10.06	3.58
2.13	0.07	-0.05	2.53	10.05	3.60
2.14	0.07	-0.05	2.53	10.04	3.60
2.14	0.07	-0.05	2.54	10.04	3.60
2.15	0.07	-0.05	2.54	10.04	3.61
2.16	0.07	-0.05	2.54	10.04	3.60
2.16	0.07	-0.05	2.55	10.05	3.60
2.17	0.07	-0.05	2.55	10.04	3.61
2.17	0.08	-0.05	2.56	10.03	3.62
2.18	0.08	-0.05	2.56	10.03	3.63
2.18	0.08	-0.05	2.57	10.02	3.64
2.19	0.08	-0.05	2.58	10.02	3.64
2.19	0.08	-0.05	2.58	10.03	3.63
2.20	0.08	-0.05	2.59	10.03	3.63
2.21	0.08	-0.05	2.59	10.03	3.64
2.21	0.08	-0.05	2.59	10.02	3.64
2.22	0.08	-0.05	2.60	10.02	3.65
2.22	0.08	-0.05	2.60	10.03	3.64
2.23	0.08	-0.05	2.61	10.03	3.64
2.23	0.08	-0.05	2.61	10.03	3.64
2.24	0.08	-0.05	2.62	10.02	3.65
2.24	0.08	-0.05	2.62	10.03	3.65
2.25	0.08	-0.05	2.63	10.03	3.64
2.26	0.08	-0.05	2.63	10.03	3.65
2.26	0.08	-0.05	2.63	10.02	3.66
2.27	0.08	-0.05	2.64	10.03	3.65
2.27	0.08	-0.05	2.65	10.03	3.65
2.28	0.08	-0.05	2.65	10.03	3.66
2.28	0.08	-0.05	2.66	10.02	3.66
2.29	0.08	-0.05	2.66	10.02	3.66
2.29	0.08	-0.05	2.67	10.03	3.66
2.30	0.08	-0.05	2.67	10.02	3.67
2.31	0.08	-0.05	2.67	10.02	3.67
2.31	0.08	-0.05	2.68	10.01	3.68
2.32	0.08	-0.05	2.68	10.02	3.67
2.32	0.08	-0.05	2.69	10.03	3.67
2.33	0.08	-0.05	2.69	10.04	3.66
2.33	0.08	-0.05	2.71	10.04	3.66
2.34	0.08	-0.05	2.70	10.03	3.67
2.34	0.08	-0.05	2.71	10.02	3.68
2.35	0.08	-0.05	2.71	10.03	3.67
2.36	0.08	-0.05	2.71	10.04	3.67
2.36	0.08	-0.05	2.72	10.05	3.66
2.37	0.08	-0.05	2.72	10.05	3.66
2.37	0.08	-0.05	2.73	10.04	3.67
2.38	0.08	-0.05	2.73	10.02	3.69
2.38	0.08	-0.05	2.74	10.02	3.70
2.39	0.08	-0.05	2.74	10.01	3.71
2.39	0.08	-0.05	2.75	10.01	3.70
2.40	0.08	-0.05	2.75	10.02	3.70
2.41	0.08	-0.05	2.76	10.03	3.69
2.41	0.08	-0.05	2.76	10.03	3.69
2.42	0.08	-0.05	2.76	10.03	3.70
2.42	0.08	-0.05	2.77	10.02	3.70
2.43	0.08	-0.05	2.78	10.02	3.70
2.43	0.08	-0.05	2.78	10.02	3.70
2.44	0.08	-0.05	2.78	10.02	3.71
2.44	0.08	-0.05	2.79	10.02	3.71
2.45	0.09	-0.05	2.79	10.01	3.72
2.46	0.09	-0.05	2.80	10.01	3.72
2.46	0.09	-0.05	2.80	10.01	3.72
2.47	0.09	-0.05	2.81	10.02	3.71
2.47	0.09	-0.05	2.81	10.02	3.71
2.48	0.09	-0.05	2.81	10.02	3.72
2.48	0.09	-0.05	2.82	10.02	3.72
2.49	0.09	-0.05	2.82	10.03	3.71
2.49	0.09	-0.05	2.83	10.04	3.70
2.50	0.09	-0.05	2.83	10.04	3.71
2.51	0.09	-0.05	2.83	10.03	3.72
2.51	0.09	-0.05	2.84	10.02	3.73
2.52	0.09	-0.05	2.85	10.01	3.74
2.52	0.09	-0.05	2.85	10.02	3.73
2.53	0.09	-0.05	2.85	10.02	3.73
2.53	0.09	-0.05	2.86	10.01	3.74
2.54	0.09	-0.06	2.86	10.02	3.74
2.54	0.09	-0.06	2.87	10.02	3.73
2.55	0.09	-0.06	2.87	10.02	3.74
2.56	0.09	-0.06	2.88	10.03	3.73
2.56	0.09	-0.06	2.88	10.04	3.72
2.57	0.09	-0.06	2.88	10.05	3.71
2.57	0.09	-0.06	2.89	10.04	3.72
2.58	0.09	-0.06	2.89	10.03	3.74
2.58	0.09	-0.06	2.90	10.01	3.75
2.59	0.09	-0.06	2.90	10.00	3.76
2.59	0.09	-0.06	2.91	10.00	3.77
2.60	0.09	-0.06	2.91	10.00	3.77
2.61	0.09	-0.06	2.91	10.00	3.77
2.61	0.09	-0.06	2.92	10.00	3.77
2.62	0.09	-0.06	2.92	10.00	3.77
2.62	0.09	-0.06	2.93	10.00	3.78
2.63	0.09	-0.06	2.93	9.99	3.79
2.63	0.09	-0.06	2.94	9.99	3.79
2.64	0.09	-0.06	2.94	10.00	3.78
2.64	0.09	-0.06	2.94	10.00	3.78
2.65	0.09	-0.06	2.95	10.00	3.78
2.66	0.09	-0.06	2.95	10.01	3.78
2.66	0.09	-0.06	2.96	10.02	3.77
2.67	0.09	-0.06	2.96	10.02	3.76
2.67	0.09	-0.06	2.97	10.02	3.77
2.68	0.09	-0.06	2.97	10.01	3.78
2.68	0.09	-0.06	2.98	10.00	3.80
2.69	0.09	-0.06	2.98	9.99	3.81
2.69	0.09	-0.06	2.99	9.99	3.81
2.70	0.09	-0.06	2.99	10.00	3.80
2.71	0.09	-0.06	2.99	10.00	3.80
2.71	0.09	-0.06	3.00	10.00	3.80
2.72	0.09	-0.06	3.00	10.01	3.80
2.72	0.10	-0.06	3.01	10.01	3.79
2.73	0.10	-0.06	3.01	10.02	3.79
2.73	0.10	-0.06	3.01	10.01	3.79
2.74	0.10	-0.06	3.02	10.00	3.80
2.74	0.10	-0.06	3.02	10.01	3.80
2.75	0.10	-0.06	3.03	10.02	3.79
2.76	0.10	-0.06	3.03	10.02	3.79
2.76	0.10	-0.06	3.04	10.01	3.80
2.77	0.10	-0.06	3.04	10.00	3.81
2.77	0.10	-0.06	3.05	9.99	3.82
2.78	0.10	-0.06	3.05	10.00	3.82
2.78	0.10	-0.06	3.05	10.00	3.82
2.79	0.10	-0.06	3.06	10.00	3.82
2.79	0.10	-0.06	3.06	9.99	3.83
2.80	0.10	-0.06	3.07	9.99	3.83
2.81	0.10	-0.06	3.07	9.99	3.83
2.81	0.10	-0.06	3.08	9.99	3.83
2.82	0.10	-0.06	3.08	10.00	3.83
2.82	0.10	-0.06	3.08	10.00	3.83
2.83	0.10	-0.06	3.09	10.00	3.83
2.83	0.10	-0.06	3.09	10.00	3.83
2.84	0.10	-0.06	3.10	10.02	3.82
2.84	0.10	-0.06	3.10	10.02	3.82
2.85	0.10	-0.06	3.10	10.01	3.83
2.86	0.10	-0.06	3.11	10.00	3.84
2.86	0.10	-0.06	3.11	9.99	3.85
2.87	0.10	-0.06	3.12	10.00	3.84
2.87	0.10	-0.06	3.12	10.00	3.84
2.88	0.10	-0.06	3.12	9.99	3.85
2.88	0.10	-0.06	3.13	9.99	3.85
2.89	0.10	-0.06	3.13	9.98	3.86
2.89	0.10	-0.06	3.14	9.98	3.86
2.90	0.10	-0.06	3.14	9.99	3.86
2.91	0.10	-0.06	3.14	9.99	3.86
2.91	0.10	-0.06	3.15	9.99	3.86
2.92	0.10	-0.06	3.16	9.99	3.87
2.92	0.10	-0.06	3.16	9.98	3.88
2.93	0.10	-0.06	3.16	9.99	3.87
2.93	0.10	-0.06	3.17	9.99	3.87
2.94	0.10	-0.06	3.17	9.98	3.87
2.94	0.10	-0.06	3.17	9.98	3.88
2.95	0.10	-0.06	3.18	9.97	3.89
2.96	0.10	-0.06	3.19	9.98	3.88
2.96	0.10	-0.06	3.19	9.99	3.88
2.97	0.10	-0.06	3.19	9.99	3.87
2.97	0.10	-0.06	3.20	10.00	3.87
2.98	0.10	-0.06	3.20	10.00	3.87
2.98	0.10	-0.06	3.20	9.99	3.88
2.99	0.10	-0.07	3.21	9.98	3.89
2.99	0.10	-0.07	3.21	9.98	3.90
3.00	0.11	-0.07	3.22	9.98	3.89
3.01	0.11	-0.07	3.22	9.98	3.89
3.01	0.11	-0.07	3.23	9.98	3.90
3.02	0.11	-0.07	3.23	9.97	3.91
3.02	0.11	-0.07	3.24	9.98	3.90
3.03	0.11	-0.07	3.24	9.98	3.90
3.03	0.11	-0.07	3.24	9.98	3.90
3.04	0.11	-0.07	3.25	9.99	3.89
3.04	0.11	-0.07	3.25	9.99	3.90
3.05	0.11	-0.07	3.25	9.98	3.90
3.06	0.11	-0.07	3.26	9.97	3.91
3.06	0.11	-0.07	3.26	9.97	3.92
3.07	0.11	-0.07	3.26	9.97	3.92
3.07	0.11	-0.07	3.27	9.98	3.91
3.08	0.11	-0.07	3.28	9.98	3.91
3.08	0.11	-0.07	3.28	9.98	3.91
